"subject_uri","birthYear","label"
"http://dbpedia.org/resource/Albert_Schweitzer",1875,"Albert Schweitzer"
"http://dbpedia.org/resource/Evelyn_Underhill",1875,"Evelyn Underhill"
"http://dbpedia.org/resource/Martha_Larsen_Jahn",1875,"Martha Larsen Jahn"
"http://dbpedia.org/resource/Mary_Dingman",1875,"Mary Dingman"
"http://dbpedia.org/resource/Mien_van_Wulfften_Palthe",1875,"Mien van Wulfften Palthe"
"http://dbpedia.org/resource/Rosika_Schwimmer",1877,"Rosika Schwimmer"
"http://dbpedia.org/resource/Jeanne_Mélin",1877,"Jeanne Mélin"
"http://dbpedia.org/resource/Madeleine_Vernet",1878,"Madeleine Vernet"
"http://dbpedia.org/resource/Francis_Sheehy-Skeffington",1878,"Francis Sheehy-Skeffington"
"http://dbpedia.org/resource/Pierre_Brizon",1878,"Pierre Brizon"
"http://dbpedia.org/resource/Yosano_Akiko",1878,"Yosano Akiko"
"http://dbpedia.org/resource/Miriam_Soljak",1879,"Miriam Soljak"
"http://dbpedia.org/resource/Albert_Einstein",1879,"Albert Einstein"
"http://dbpedia.org/resource/Otto_Hahn",1879,"Otto Hahn"
"http://dbpedia.org/resource/Helen_Keller",1880,"Helen Keller"
"http://dbpedia.org/resource/Jeannette_Rankin",1880,"Jeannette Rankin"
"http://dbpedia.org/resource/Dick_Sheppard_(priest)",1880,"Dick Sheppard (priest)"
"http://dbpedia.org/resource/Carl_Bonnevie",1881,"Carl Bonnevie"
"http://dbpedia.org/resource/Rosa_Manus",1881,"Rosa Manus"
"http://dbpedia.org/resource/Crystal_Eastman",1881,"Crystal Eastman"
"http://dbpedia.org/resource/Lewis_Fry_Richardson",1881,"Lewis Fry Richardson"
"http://dbpedia.org/resource/Heloise_Brainerd",1881,"Heloise Brainerd"
"http://dbpedia.org/resource/Isabel_Longworth",1881,"Isabel Longworth"
"http://dbpedia.org/resource/Archibald_Baxter",1881,"Archibald Baxter"
"http://dbpedia.org/resource/Sybil_Thorndike",1882,"Sybil Thorndike"
"http://dbpedia.org/resource/Bart_de_Ligt",1883,"Bart de Ligt"
"http://dbpedia.org/resource/Kathleen_Innes",1883,"Kathleen Innes"
"http://dbpedia.org/resource/Roger_Nash_Baldwin",1884,"Roger Nash Baldwin"
"http://dbpedia.org/resource/Franz_Rosenzweig",1886,"Franz Rosenzweig"
"http://dbpedia.org/resource/Helen_Chenevix",1886,"Helen Chenevix"
"http://dbpedia.org/resource/Nikolaus_Ehlen",1886,"Nikolaus Ehlen"
"http://dbpedia.org/resource/Salvador_de_Madariaga",1886,"Salvador de Madariaga"
"http://dbpedia.org/resource/Tano_Jōdai",1886,"Tano Jōdai"
"http://dbpedia.org/resource/René_Cassin",1887,"René Cassin"
"http://dbpedia.org/resource/Arnold_Zweig",1887,"Arnold Zweig"
"http://dbpedia.org/resource/Louis_Lecoin",1888,"Louis Lecoin"
"http://dbpedia.org/resource/Siri_Derkert",1888,"Siri Derkert"
"http://dbpedia.org/resource/Eugen_Rosenstock-Huessy",1888,"Eugen Rosenstock-Huessy"
"http://dbpedia.org/resource/Fenner_Brockway",1888,"Fenner Brockway"
"http://dbpedia.org/resource/Dorothy_Evans",1888,"Dorothy Evans"
"http://dbpedia.org/resource/Norma_Elizabeth_Boyd",1888,"Norma Elizabeth Boyd"
"http://dbpedia.org/resource/Carl_von_Ossietzky",1889,"Carl von Ossietzky"
"http://dbpedia.org/resource/Doris_Blackburn",1889,"Doris Blackburn"
"http://dbpedia.org/resource/Philip_Noel-Baker",1889,"Philip Noel-Baker"
"http://dbpedia.org/resource/Gertrud_Baer",1890,"Gertrud Baer"
"http://dbpedia.org/resource/Selma_Meyer",1890,"Selma Meyer"
"http://dbpedia.org/resource/B._R._Ambedkar",1891,"B. R. Ambedkar"
"http://dbpedia.org/resource/Sigrid_Helliesen_Lund",1892,"Sigrid Helliesen Lund"
"http://dbpedia.org/resource/Martin_Niemöller",1892,"Martin Niemöller"
"http://dbpedia.org/resource/Vera_Brittain",1893,"Vera Brittain"
"http://dbpedia.org/resource/Ammon_Hennacy",1893,"Ammon Hennacy"
"http://dbpedia.org/resource/Dorothy_Detzer",1893,"Dorothy Detzer"
"http://dbpedia.org/resource/Rae_Luckock",1893,"Rae Luckock"
"http://dbpedia.org/resource/Annot_(artist)",1894,"Annot (artist)"
"http://dbpedia.org/resource/Aldous_Huxley",1894,"Aldous Huxley"
"http://dbpedia.org/resource/Igino_Giordani",1894,"Igino Giordani"
"http://dbpedia.org/resource/Vinoba_Bhave",1895,"Vinoba Bhave"
"http://dbpedia.org/resource/Eugen_Relgis",1895,"Eugen Relgis"
"http://dbpedia.org/resource/Willemijn_Posthumus-van_der_Goot",1897,"Willemijn Posthumus-van der Goot"
"http://dbpedia.org/resource/Dorothy_Day",1897,"Dorothy Day"
"http://dbpedia.org/resource/Irene_Greenwood",1898,"Irene Greenwood"
"http://dbpedia.org/resource/James_Gareth_Endicott",1898,"James Gareth Endicott"
"http://dbpedia.org/resource/Mildred_Fahrni",1900,"Mildred Fahrni"
"http://dbpedia.org/resource/Linus_Pauling",1901,"Linus Pauling"
"http://dbpedia.org/resource/Lanza_del_Vasto",1901,"Lanza del Vasto"
"http://dbpedia.org/resource/Amparo_Poch_y_Gascón",1902,"Amparo Poch y Gascón"
"http://dbpedia.org/resource/Günther_Anders",1902,"Günther Anders"
"http://dbpedia.org/resource/Roger_Monclin",1903,"Roger Monclin"
"http://dbpedia.org/resource/Benjamin_Spock",1903,"Benjamin Spock"
"http://dbpedia.org/resource/Ella_Baker",1903,"Ella Baker"
"http://dbpedia.org/resource/Ava_Helen_Pauling",1903,"Ava Helen Pauling"
"http://dbpedia.org/resource/Donald_Soper",1903,"Donald Soper"
"http://dbpedia.org/resource/Waldo_Williams",1904,"Waldo Williams"
"http://dbpedia.org/resource/John_Peters_Humphrey",1905,"John Peters Humphrey"
"http://dbpedia.org/resource/Albert_Bigelow",1906,"Albert Bigelow"
"http://dbpedia.org/resource/Abraham_Joshua_Heschel",1907,"Abraham Joshua Heschel"
"http://dbpedia.org/resource/Peace_Pilgrim",1908,"Peace Pilgrim"
"http://dbpedia.org/resource/Muriel_Duckworth",1908,"Muriel Duckworth"
"http://dbpedia.org/resource/Margaret_Holmes",1909,"Margaret Holmes"
"http://dbpedia.org/resource/Hélder_Câmara",1909,"Hélder Câmara"
"http://dbpedia.org/resource/Idy_Hegnauer",1909,"Idy Hegnauer"
"http://dbpedia.org/resource/Peggy_Duff",1910,"Peggy Duff"
"http://dbpedia.org/resource/Paul_Goodman",1911,"Paul Goodman"
"http://dbpedia.org/resource/Alfonso_García_Robles",1911,"Alfonso García Robles"
"http://dbpedia.org/resource/Genevieve_Fiore",1912,"Genevieve Fiore"
"http://dbpedia.org/resource/Abbé_Pierre",1912,"Abbé Pierre"
"http://dbpedia.org/resource/Grigoris_Lambrakis",1912,"Grigoris Lambrakis"
"http://dbpedia.org/resource/Woody_Guthrie",1912,"Woody Guthrie"
"http://dbpedia.org/resource/Wilson_A._Head",1914,"Wilson A. Head"
"http://dbpedia.org/resource/James_Peck_(pacifist)",1914,"James Peck (pacifist)"
"http://dbpedia.org/resource/David_Dellinger",1915,"David Dellinger"
"http://dbpedia.org/resource/Ivan_Supek",1915,"Ivan Supek"
"http://dbpedia.org/resource/John_McConnell_(peace_activist)",1915,"John McConnell (peace activist)"
"http://dbpedia.org/resource/Norman_Cousins",1915,"Norman Cousins"
"http://dbpedia.org/resource/Adam_Curle",1916,"Adam Curle"
"http://dbpedia.org/resource/Eugene_McCarthy",1916,"Eugene McCarthy"
"http://dbpedia.org/resource/Robert_Baker_Aitken",1917,"Robert Baker Aitken"
"http://dbpedia.org/resource/Óscar_Romero",1917,"Óscar Romero"
"http://dbpedia.org/resource/Marii_Hasegawa",1918,"Marii Hasegawa"
"http://dbpedia.org/resource/Nelson_Mandela",1918,"Nelson Mandela"
"http://dbpedia.org/resource/Pete_Seeger",1919,"Pete Seeger"
"http://dbpedia.org/resource/Simonne_Monet-Chartrand",1919,"Simonne Monet-Chartrand"
"http://dbpedia.org/resource/Frances_Crowe",1919,"Frances Crowe"
"http://dbpedia.org/resource/Lawrence_Ferlinghetti",1919,"Lawrence Ferlinghetti"
"http://dbpedia.org/resource/Elise_M._Boulding",1920,"Elise M. Boulding"
"http://dbpedia.org/resource/Alex_Comfort",1920,"Alex Comfort"
"http://dbpedia.org/resource/Chiara_Lubich",1920,"Chiara Lubich"
"http://dbpedia.org/resource/Pope_John_Paul_II",1920,"Pope John Paul II"
"http://dbpedia.org/resource/Ursula_Franklin",1921,"Ursula Franklin"
"http://dbpedia.org/resource/Andrei_Sakharov",1921,"Andrei Sakharov"
"http://dbpedia.org/resource/Daniel_Berrigan",1921,"Daniel Berrigan"
"http://dbpedia.org/resource/Howard_Zinn",1922,"Howard Zinn"
"http://dbpedia.org/resource/George_McGovern",1922,"George McGovern"
"http://dbpedia.org/resource/Edith_Ballantyne",1922,"Edith Ballantyne"
"http://dbpedia.org/resource/Kurt_Vonnegut",1922,"Kurt Vonnegut"
"http://dbpedia.org/resource/Uri_Avnery",1923,"Uri Avnery"
"http://dbpedia.org/resource/Mattityahu_Peled",1923,"Mattityahu Peled"
"http://dbpedia.org/resource/Walter_Wolfgang",1923,"Walter Wolfgang"
"http://dbpedia.org/resource/Norman_Mailer",1923,"Norman Mailer"
"http://dbpedia.org/resource/Philip_Berrigan",1923,"Philip Berrigan"
"http://dbpedia.org/resource/William_Sloane_Coffin",1924,"William Sloane Coffin"
"http://dbpedia.org/resource/Hedy_Epstein",1924,"Hedy Epstein"
"http://dbpedia.org/resource/Jimmy_Carter",1924,"Jimmy Carter"
"http://dbpedia.org/resource/Paul_Newman",1925,"Paul Newman"
"http://dbpedia.org/resource/Wahiduddin_Khan",1925,"Wahiduddin Khan"
"http://dbpedia.org/resource/Helmuth_Hübener",1925,"Helmuth Hübener"
"http://dbpedia.org/resource/Christopher_Weeramantry",1926,"Christopher Weeramantry"
"http://dbpedia.org/resource/Geoffrey_Ostergaard",1926,"Geoffrey Ostergaard"
"http://dbpedia.org/resource/Murray_Rothbard",1926,"Murray Rothbard"
"http://dbpedia.org/resource/Thích_Nhất_Hạnh",1926,"Thích Nhất Hạnh"
"http://dbpedia.org/resource/Allen_Ginsberg",1926,"Allen Ginsberg"
"http://dbpedia.org/resource/Bradford_Lyttle",1927,"Bradford Lyttle"
"http://dbpedia.org/resource/Coretta_Scott_King",1927,"Coretta Scott King"
"http://dbpedia.org/resource/Cesar_Chavez",1927,"Cesar Chavez"
"http://dbpedia.org/resource/Harry_Belafonte",1927,"Harry Belafonte"
"http://dbpedia.org/resource/Abie_Nathan",1927,"Abie Nathan"
"http://dbpedia.org/resource/Olof_Palme",1927,"Olof Palme"
"http://dbpedia.org/resource/Ramsey_Clark",1927,"Ramsey Clark"
"http://dbpedia.org/resource/Gene_Sharp",1928,"Gene Sharp"
"http://dbpedia.org/resource/Noam_Chomsky",1928,"Noam Chomsky"
"http://dbpedia.org/resource/Jim_Radford",1928,"Jim Radford"
"http://dbpedia.org/resource/David_McReynolds",1929,"David McReynolds"
"http://dbpedia.org/resource/Staughton_Lynd",1929,"Staughton Lynd"
"http://dbpedia.org/resource/Brigid_Brophy",1929,"Brigid Brophy"
"http://dbpedia.org/resource/Bruce_Kent",1929,"Bruce Kent"
"http://dbpedia.org/resource/Douglas_Roche",1929,"Douglas Roche"
"http://dbpedia.org/resource/Marjorie_Bradford_Melville",1929,"Marjorie Bradford Melville"
"http://dbpedia.org/resource/Martin_Luther_King_Jr.",1929,"Martin Luther King Jr."
"http://dbpedia.org/resource/Megan_Rice",1930,"Megan Rice"
"http://dbpedia.org/resource/Desmond_Tutu",1931,"Desmond Tutu"
"http://dbpedia.org/resource/Mohamed_Sahnoun",1931,"Mohamed Sahnoun"
"http://dbpedia.org/resource/Daniel_Ellsberg",1931,"Daniel Ellsberg"
"http://dbpedia.org/resource/Mikhail_Gorbachev",1931,"Mikhail Gorbachev"
"http://dbpedia.org/resource/David_McTaggart",1932,"David McTaggart"
"http://dbpedia.org/resource/Paul_Krassner",1932,"Paul Krassner"
"http://dbpedia.org/resource/Louis_Vitale",1932,"Louis Vitale"
"http://dbpedia.org/resource/Dick_Gregory",1932,"Dick Gregory"
"http://dbpedia.org/resource/Setsuko_Thurlow",1932,"Setsuko Thurlow"
"http://dbpedia.org/resource/Sulak_Sivaraksa",1933,"Sulak Sivaraksa"
"http://dbpedia.org/resource/Yoko_Ono",1933,"Yoko Ono"
"http://dbpedia.org/resource/Carl_Sagan",1934,"Carl Sagan"
"http://dbpedia.org/resource/Tom_Cornell",1934,"Tom Cornell"
"http://dbpedia.org/resource/Margaretta_D'Arcy",1934,"Margaretta D'Arcy"
"http://dbpedia.org/resource/Arun_Manilal_Gandhi",1934,"Arun Manilal Gandhi"
"http://dbpedia.org/resource/Marcus_Raskin",1934,"Marcus Raskin"
"http://dbpedia.org/resource/Solange_Fernex",1934,"Solange Fernex"
"http://dbpedia.org/resource/Ron_Paul",1935,"Ron Paul"
"http://dbpedia.org/resource/Edward_Said",1935,"Edward Said"
"http://dbpedia.org/resource/Concepción_Picciotto",1936,"Concepción Picciotto"
"http://dbpedia.org/resource/Václav_Havel",1936,"Václav Havel"
"http://dbpedia.org/resource/Wavy_Gravy",1936,"Wavy Gravy"
"http://dbpedia.org/resource/Dahlia_Ravikovitch",1936,"Dahlia Ravikovitch"
"http://dbpedia.org/resource/J._Edward_Guinan",1936,"J. Edward Guinan"
"http://dbpedia.org/resource/James_Bevel",1936,"James Bevel"
"http://dbpedia.org/resource/George_Lakey",1937,"George Lakey"
"http://dbpedia.org/resource/Jane_Fonda",1937,"Jane Fonda"
"http://dbpedia.org/resource/Cheng_Yen",1937,"Cheng Yen"
"http://dbpedia.org/resource/John_Hume",1937,"John Hume"
"http://dbpedia.org/resource/Martti_Ahtisaari",1937,"Martti Ahtisaari"
"http://dbpedia.org/resource/Peter_Yarrow",1938,"Peter Yarrow"
"http://dbpedia.org/resource/Colman_McCarthy",1938,"Colman McCarthy"
"http://dbpedia.org/resource/Ellen_Johnson_Sirleaf",1938,"Ellen Johnson Sirleaf"
"http://dbpedia.org/resource/Helen_Caldicott",1938,"Helen Caldicott"
