uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesOrg,periods,listTypesOrg
http://www.wikidata.org/entity/Q116618776,Erna P. Harris,1908,membership,http://www.wikidata.org/entity/Q746903,Gray Panthers,1,organization,1890-1919,['organization']
http://www.wikidata.org/entity/Q116618776,Erna P. Harris,1908,membership,http://www.wikidata.org/entity/Q5164732,Consumers' Cooperative of Berkeley,1,cooperative,1890-1919,['cooperative']
http://www.wikidata.org/entity/Q117089947,Ruby Green Smith,1878,employment,http://www.wikidata.org/entity/Q41506,Stanford University,4,open-access publisher | private not-for-profit educational institution | private university | research university,1860-1889,"['open-access publisher', 'private not-for-profit educational institution', 'private university', 'research university']"
http://www.wikidata.org/entity/Q117089947,Ruby Green Smith,1878,membership,http://www.wikidata.org/entity/Q8030658,Woman's Peace Party,1,political party,1860-1889,['political party']
http://www.wikidata.org/entity/Q117089947,Ruby Green Smith,1878,employment,http://www.wikidata.org/entity/Q49115,Cornell University,5,land-grant university | private not-for-profit educational institution | private university | research university | sun grant institution,1860-1889,"['land-grant university', 'private not-for-profit educational institution', 'private university', 'research university', 'sun grant institution']"
http://www.wikidata.org/entity/Q117164587,Geoffrey Carnall,1927,employment,http://www.wikidata.org/entity/Q877925,Queen's University Belfast,2,public research university | university,1920-1949,"['public research university', 'university']"
http://www.wikidata.org/entity/Q117164587,Geoffrey Carnall,1927,employment,http://www.wikidata.org/entity/Q160302,University of Edinburgh,4,ancient university | open-access publisher | organization | public university,1920-1949,"['ancient university', 'open-access publisher', 'organization', 'public university']"
http://www.wikidata.org/entity/Q1176398,David Rovics,1967,membership,http://www.wikidata.org/entity/Q1046722,Industrial Workers of the World,2,international organization | labor union,1950-1979,"['international organization', 'labor union']"
http://www.wikidata.org/entity/Q1187410,Denis Halliday,1941,employment,http://www.wikidata.org/entity/Q1065,United Nations,2,intergovernmental organization | international organization,1920-1949,"['intergovernmental organization', 'international organization']"
http://www.wikidata.org/entity/Q119152362,Terence P. Amerasinghe,1917,membership,http://www.wikidata.org/entity/Q157412,Gray's Inn,1,inns of court,1890-1919,['inns of court']
http://www.wikidata.org/entity/Q119485957,A. B. Patel,1898,membership,http://www.wikidata.org/entity/Q69482,Lincoln's Inn,1,inns of court,1890-1919,['inns of court']
http://www.wikidata.org/entity/Q119546,Howard Zinn,1922,employment,http://www.wikidata.org/entity/Q7575916,Spelman College,3,historically black college or university | private not-for-profit educational institution | women's college in the united states,1920-1949,"['historically black college or university', 'private not-for-profit educational institution', ""women's college in the united states""]"
http://www.wikidata.org/entity/Q119546,Howard Zinn,1922,employment,http://www.wikidata.org/entity/Q49110,Boston University,3,open-access publisher | private not-for-profit educational institution | university,1920-1949,"['open-access publisher', 'private not-for-profit educational institution', 'university']"
http://www.wikidata.org/entity/Q119546,Howard Zinn,1922,employment,http://www.wikidata.org/entity/Q13371,Harvard University,4,colonial colleges | private not-for-profit educational institution | private university | research university,1920-1949,"['colonial colleges', 'private not-for-profit educational institution', 'private university', 'research university']"
http://www.wikidata.org/entity/Q1203,John Lennon,1940,membership,http://www.wikidata.org/entity/Q109045747,The Beat Brothers,2,backing band | musical group,1920-1949,"['backing band', 'musical group']"
http://www.wikidata.org/entity/Q1203,John Lennon,1940,membership,http://www.wikidata.org/entity/Q1299,The Beatles,1,musical group,1920-1949,['musical group']
http://www.wikidata.org/entity/Q1203,John Lennon,1940,membership,http://www.wikidata.org/entity/Q384664,The Quarrymen,1,musical group,1920-1949,['musical group']
http://www.wikidata.org/entity/Q1203,John Lennon,1940,membership,http://www.wikidata.org/entity/Q731721,Plastic Ono Band,1,musical group,1920-1949,['musical group']
http://www.wikidata.org/entity/Q1203,John Lennon,1940,membership,http://www.wikidata.org/entity/Q913897,The Dirty Mac,2,musical group | supergroup,1920-1949,"['musical group', 'supergroup']"
http://www.wikidata.org/entity/Q120969244,Rudolph M. Lapp,1915,employment,http://www.wikidata.org/entity/Q18409139,College of San Mateo,2,community college | school,1890-1919,"['community college', 'school']"
http://www.wikidata.org/entity/Q122997998,Vivian Silver,1949,employment,http://www.wikidata.org/entity/Q113508630,AJEEC-NISPED,2,organization | voluntary association,1920-1949,"['organization', 'voluntary association']"
http://www.wikidata.org/entity/Q123523298,Robert Edwin White,1930,employment,http://www.wikidata.org/entity/Q492467,University of Auckland,1,public university,1920-1949,['public university']
http://www.wikidata.org/entity/Q123529360,Abassia Fodil,1918,membership,http://www.wikidata.org/entity/Q453851,Women's International Democratic Federation,4,international organization | non-governmental organization | women's organization | women's rights organization,1890-1919,"['international organization', 'non-governmental organization', ""women's organization"", ""women's rights organization""]"
http://www.wikidata.org/entity/Q123529360,Abassia Fodil,1918,membership,http://www.wikidata.org/entity/Q2118395,Algerian Communist Party,1,communist party,1890-1919,['communist party']
http://www.wikidata.org/entity/Q12409970,Natan Hofshi,1889,membership,http://www.wikidata.org/entity/Q175005,Brit Shalom,1,organization,1860-1889,['organization']
http://www.wikidata.org/entity/Q124331791,Lawrence Scott,1908,employment,http://www.wikidata.org/entity/Q464677,American Friends Service Committee,3,christian organization | nonprofit organization | organization related to nonviolence,1890-1919,"['christian organization', 'nonprofit organization', 'organization related to nonviolence']"
http://www.wikidata.org/entity/Q124408682,James Simpson,1812,membership,http://www.wikidata.org/entity/Q2154954,Vegetarian Society,2,charitable organization | club,1800-1829,"['charitable organization', 'club']"
http://www.wikidata.org/entity/Q124408682,James Simpson,1812,membership,http://www.wikidata.org/entity/Q4903078,Bible Christian Church,1,former christian denomination,1800-1829,['former christian denomination']
http://www.wikidata.org/entity/Q124408682,James Simpson,1812,membership,http://www.wikidata.org/entity/Q17056522,United Kingdom Alliance,1,organization,1800-1829,['organization']
http://www.wikidata.org/entity/Q12571,Edmond Privat,1889,membership,http://www.wikidata.org/entity/Q12565,Universal Esperanto Association,4,esperanto organization | esperanto publisher | non-governmental organization | nonprofit organization,1860-1889,"['esperanto organization', 'esperanto publisher', 'non-governmental organization', 'nonprofit organization']"
