uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesO,periods
http://www.wikidata.org/entity/Q431092,Helen Caldicott,1938,employment,http://www.wikidata.org/entity/Q13371,Harvard University,4,research university | private university | Colonial Colleges | private not-for-profit educational institution,1921-1940
http://www.wikidata.org/entity/Q431092,Helen Caldicott,1938,membership,http://www.wikidata.org/entity/Q40358,American Association for the Advancement of Science,4,international organization | nonprofit organization | academic publisher | open-access publisher,1921-1940
http://www.wikidata.org/entity/Q434160,E. P. Thompson,1924,employment,http://www.wikidata.org/entity/Q235034,University of Pittsburgh,5,public educational institution of the United States | open-access publisher | research university | private university | public–private partnership,1921-1940
http://www.wikidata.org/entity/Q434160,E. P. Thompson,1924,employment,http://www.wikidata.org/entity/Q865528,University of Warwick,5,public research university | open-access publisher | organization | higher education institution | educational organization,1921-1940
http://www.wikidata.org/entity/Q434160,E. P. Thompson,1924,membership,http://www.wikidata.org/entity/Q463303,American Academy of Arts and Sciences,3,academic publisher | learned society | nonprofit organization,1921-1940
http://www.wikidata.org/entity/Q434160,E. P. Thompson,1924,employment,http://www.wikidata.org/entity/Q503424,University of Leeds,2,public research university | educational organization,1921-1940
http://www.wikidata.org/entity/Q4352290,Al Piantadosi,1884,employment,http://www.wikidata.org/entity/Q110768032,Al. Piantadosi & Co.,1,music publishing company,1851-1900
http://www.wikidata.org/entity/Q4352290,Al Piantadosi,1884,membership,http://www.wikidata.org/entity/Q373087,"American Society of Composers, Authors and Publishers",5,business | copyright collective | performing rights organization | nonprofit organization | company,1851-1900
http://www.wikidata.org/entity/Q43546275,Cynthia Cockburn,1934,employment,http://www.wikidata.org/entity/Q1094046,"City, University of London",3,higher education institution | educational organization | university,1921-1940
http://www.wikidata.org/entity/Q43546275,Cynthia Cockburn,1934,employment,http://www.wikidata.org/entity/Q865528,University of Warwick,5,public research university | open-access publisher | organization | higher education institution | educational organization,1921-1940
http://www.wikidata.org/entity/Q44534,Tiziano Terzani,1938,employment,http://www.wikidata.org/entity/Q13142918,Spiegel-Verlag,1,publishing company,1921-1940
http://www.wikidata.org/entity/Q450295,Alyn Ware,1962,membership,http://www.wikidata.org/entity/Q322431,World Future Council,2,foundation | nonprofit organization,1961-1980
http://www.wikidata.org/entity/Q450802,Vera Brittain,1893,membership,http://www.wikidata.org/entity/Q107921129,World Committee of Women Against War and Fascism,3,women's organization | international organization | peace organization,1851-1900
http://www.wikidata.org/entity/Q450802,Vera Brittain,1893,membership,http://www.wikidata.org/entity/Q7532859,Six Point Group,3,women's organization | organization | advocacy group,1851-1900
