p,propLabel,eff
http://www.wikidata.org/prop/direct/P11155,Municipal Library of Trikala ID,9
http://www.wikidata.org/prop/direct/P496,ORCID iD,8
http://www.wikidata.org/prop/direct/P549,Mathematics Genealogy Project ID,8
http://www.wikidata.org/prop/direct/P968,email address,8
http://www.wikidata.org/prop/direct/P989,spoken text audio,8
http://www.wikidata.org/prop/direct/P1026,academic thesis,8
http://www.wikidata.org/prop/direct/P945,allegiance,8
http://www.wikidata.org/prop/direct/P1286,Munzinger Pop ID,8
http://www.wikidata.org/prop/direct/P2048,height,8
http://www.wikidata.org/prop/direct/P2174,Museum of Modern Art artist ID,8
http://www.wikidata.org/prop/direct/P2750,Photographers’ Identities Catalog ID,8
http://www.wikidata.org/prop/direct/P3017,Rolling Stone artist ID,8
http://www.wikidata.org/prop/direct/P3056,TCM Movie Database person ID,8
http://www.wikidata.org/prop/direct/P3114,ISzDb person ID,8
http://www.wikidata.org/prop/direct/P3788,BNMM authority ID,8
http://www.wikidata.org/prop/direct/P4081,BHL creator ID,8
http://www.wikidata.org/prop/direct/P4431,Google Doodle,8
http://www.wikidata.org/prop/direct/P4602,date of burial or cremation,8
http://www.wikidata.org/prop/direct/P5033,Filmweb.pl person ID,8
http://www.wikidata.org/prop/direct/P6081,RIA Novosti reference,8
http://www.wikidata.org/prop/direct/P6351,Genius artist numeric ID,8
http://www.wikidata.org/prop/direct/P7052,Jaxsta profile ID,8
http://www.wikidata.org/prop/direct/P7444,Rijksmuseum Research Library authority ID,8
http://www.wikidata.org/prop/direct/P7545,askArt person ID,8
http://www.wikidata.org/prop/direct/P8017,generational suffix,8
http://www.wikidata.org/prop/direct/P8819,Pitchfork artist ID,8
http://www.wikidata.org/prop/direct/P8885,Namuwiki ID,8
http://www.wikidata.org/prop/direct/P8899,Swedish National Library Arken ID,8
http://www.wikidata.org/prop/direct/P9346,France 24 topic ID (French),8
http://www.wikidata.org/prop/direct/P9430,Encyclopedia of Jewish Women ID,8
http://www.wikidata.org/prop/direct/P9493,artist files at,8
http://www.wikidata.org/prop/direct/P11120,Rai Teche person ID,8
http://www.wikidata.org/prop/direct/P11180,Central Library of Volos authority ID,8
http://www.wikidata.org/prop/direct/P11185,Levadia Library ID,8
http://www.wikidata.org/prop/direct/P11615,InfluenceWatch ID,8
http://www.wikidata.org/prop/direct/P13051,CIRDOC author ID,8
http://www.wikidata.org/prop/direct/P53,family,7
http://www.wikidata.org/prop/direct/P443,pronunciation audio,7
http://www.wikidata.org/prop/direct/P947,RSL ID (person),7
http://www.wikidata.org/prop/direct/P1749,Parlement.com ID,7
http://www.wikidata.org/prop/direct/P2171,TheyWorkForYou ID,7
http://www.wikidata.org/prop/direct/P2267,PolitiFact people and groups ID,7
http://www.wikidata.org/prop/direct/P2562,married name,7
http://www.wikidata.org/prop/direct/P2581,BabelNet ID,7
http://www.wikidata.org/prop/direct/P3040,SoundCloud ID,7
http://www.wikidata.org/prop/direct/P4012,Semantic Scholar author ID,7
http://www.wikidata.org/prop/direct/P4457,DAHR artist ID,7
http://www.wikidata.org/prop/direct/P4819,Swedish Portrait Archive ID,7
http://www.wikidata.org/prop/direct/P5007,Behind The Voice Actors person ID,7
http://www.wikidata.org/prop/direct/P5080,Norsk biografisk leksikon ID,7
http://www.wikidata.org/prop/direct/P5375,BIU Santé person ID,7
http://www.wikidata.org/prop/direct/P5395,Canadian Encyclopedia article ID,7
http://www.wikidata.org/prop/direct/P5489,artist-info artist ID,7
http://www.wikidata.org/prop/direct/P5502,LRB contributor ID,7
http://www.wikidata.org/prop/direct/P5504,RISM ID,7
http://www.wikidata.org/prop/direct/P6214,Jewish Museum Berlin person ID,7
http://www.wikidata.org/prop/direct/P6461,Rock's Backpages artist ID,7
http://www.wikidata.org/prop/direct/P6517,WhoSampled artist ID,7
http://www.wikidata.org/prop/direct/P7003,ACMI ID,7
http://www.wikidata.org/prop/direct/P7026,Lebanese National Library ID,7
http://www.wikidata.org/prop/direct/P7317,iHeart artist ID,7
http://www.wikidata.org/prop/direct/P7686,Encyclopedia of the Great Plains ID,7
http://www.wikidata.org/prop/direct/P7796,BeWeb person ID,7
http://www.wikidata.org/prop/direct/P8286,Olympedia people ID,7
http://www.wikidata.org/prop/direct/P8992,1914-1918-Online ID,7
http://www.wikidata.org/prop/direct/P9081,SEARCH on line catalogue ID,7
http://www.wikidata.org/prop/direct/P9244,Women Australia ID,7
http://www.wikidata.org/prop/direct/P9594,Bodleian Archives & Manuscripts person ID,7
http://www.wikidata.org/prop/direct/P10018,George Eastman Museum people ID,7
http://www.wikidata.org/prop/direct/P10234,Der Spiegel topic ID,7
http://www.wikidata.org/prop/direct/P10266,AdoroCinema person ID,7
http://www.wikidata.org/prop/direct/P10372,Offizielle Deutsche Charts person ID,7
http://www.wikidata.org/prop/direct/P10404,LMHL author ID,7
http://www.wikidata.org/prop/direct/P10916,Süddeutsche Zeitung topic ID,7
http://www.wikidata.org/prop/direct/P11936,Biblioteca centrale Cappuccini authority ID,7
http://www.wikidata.org/prop/direct/P13022,Koha Kütüphane ID,7
http://www.wikidata.org/prop/direct/P13437,Chtyvo author ID,7
http://www.wikidata.org/prop/direct/P802,student,6
http://www.wikidata.org/prop/direct/P1299,depicted by,6
http://www.wikidata.org/prop/direct/P1387,political alignment,6
http://www.wikidata.org/prop/direct/P1598,consecrator,6
http://www.wikidata.org/prop/direct/P1813,short name,6
http://www.wikidata.org/prop/direct/P1980,PolSys ID,6
http://www.wikidata.org/prop/direct/P1979,Righteous Among The Nations ID,6
http://www.wikidata.org/prop/direct/P2015,Hansard (1803–2005) ID,6
http://www.wikidata.org/prop/direct/P2390,Ballotpedia ID,6
http://www.wikidata.org/prop/direct/P3204,Ciné-Ressources person ID,6
http://www.wikidata.org/prop/direct/P3235,PhilPapers topic,6
http://www.wikidata.org/prop/direct/P3305,KINENOTE person ID,6
http://www.wikidata.org/prop/direct/P3973,PIM authority ID,6
http://www.wikidata.org/prop/direct/P4332,Deutsche Synchronkartei actor ID,6
http://www.wikidata.org/prop/direct/P4471,Rush Parliamentary Archive ID,6
http://www.wikidata.org/prop/direct/P5297,Companies House officer ID,6
http://www.wikidata.org/prop/direct/P5357,Encyclopedia of Science Fiction ID,6
http://www.wikidata.org/prop/direct/P5909,HKCAN ID,6
http://www.wikidata.org/prop/direct/P6200,BBC News topic ID,6
http://www.wikidata.org/prop/direct/P6284,NCpedia ID,6
http://www.wikidata.org/prop/direct/P7085,TikTok username,6
http://www.wikidata.org/prop/direct/P7194,AZLyrics.com artist ID,6
http://www.wikidata.org/prop/direct/P7214,Allcinema person ID,6
http://www.wikidata.org/prop/direct/P7779,military unit,6
http://www.wikidata.org/prop/direct/P8081,WBIS ID,6
http://www.wikidata.org/prop/direct/P8544,Frauen in Bewegung 1848–1938 ID,6
http://www.wikidata.org/prop/direct/P8580,NHK Archives Portal person ID,6
http://www.wikidata.org/prop/direct/P8833,Union Catalog of Armenian Libraries authority ID,6
http://www.wikidata.org/prop/direct/P8870,Hyperion Records person ID,6
http://www.wikidata.org/prop/direct/P9522,Biblioteca di Santa Sabina ID,6
http://www.wikidata.org/prop/direct/P9534,Biblioteche della Custodia di Terra Santa a Gerusalemme ID,6
http://www.wikidata.org/prop/direct/P11041,kulturstiftung.org person ID,6
http://www.wikidata.org/prop/direct/P11646,Deutsche Synchronkartei person ID,6
http://www.wikidata.org/prop/direct/P10,video,5
http://www.wikidata.org/prop/direct/P138,named after,5
http://www.wikidata.org/prop/direct/P157,killed by,5
http://www.wikidata.org/prop/direct/P270,CALIS ID,5
http://www.wikidata.org/prop/direct/P411,canonization status,5
http://www.wikidata.org/prop/direct/P990,audio recording of the subject's spoken voice,5
http://www.wikidata.org/prop/direct/P839,IMSLP ID,5
http://www.wikidata.org/prop/direct/P1213,NLC authorities,5
http://www.wikidata.org/prop/direct/P1438,Jewish Encyclopedia ID (Russian),5
http://www.wikidata.org/prop/direct/P1615,CLARA-ID,5
http://www.wikidata.org/prop/direct/P1648,Dictionary of Welsh Biography ID,5
http://www.wikidata.org/prop/direct/P1839,US Federal Election Commission ID,5
http://www.wikidata.org/prop/direct/P2042,Artsy artist ID,5
http://www.wikidata.org/prop/direct/P1960,Google Scholar author ID,5
http://www.wikidata.org/prop/direct/P2191,Vegetti Catalog of Fantastic Literature NILF ID,5
http://www.wikidata.org/prop/direct/P2252,National Gallery of Art artist ID,5
http://www.wikidata.org/prop/direct/P2348,time period,5
http://www.wikidata.org/prop/direct/P2799,BVMC person ID,5
http://www.wikidata.org/prop/direct/P2847,Google+ ID,5
http://www.wikidata.org/prop/direct/P2843,Benezit ID,5
http://www.wikidata.org/prop/direct/P3283,Bandcamp profile ID,5
http://www.wikidata.org/prop/direct/P3344,Vote Smart candidate ID,5
http://www.wikidata.org/prop/direct/P3789,Telegram username,5
http://www.wikidata.org/prop/direct/P3980,Unifrance person ID,5
http://www.wikidata.org/prop/direct/P4272,DPLA subject term,5
http://www.wikidata.org/prop/direct/P4198,Google Play Music artist ID (former scheme),5
http://www.wikidata.org/prop/direct/P4248,The Black Book ID,5
http://www.wikidata.org/prop/direct/P4521,Radio Radicale person ID,5
http://www.wikidata.org/prop/direct/P4955,MR Author ID,5
http://www.wikidata.org/prop/direct/P4997,National Governors Association biography URL,5
http://www.wikidata.org/prop/direct/P5056,patronym or matronym,5
http://www.wikidata.org/prop/direct/P5570,NooSFere author ID,5
http://www.wikidata.org/prop/direct/P5695,Bibliopoche author ID,5
http://www.wikidata.org/prop/direct/P5705,Los Angeles Review of Books author ID,5
http://www.wikidata.org/prop/direct/P6005,Muck Rack journalist ID,5
http://www.wikidata.org/prop/direct/P6178,Dimensions author ID,5
http://www.wikidata.org/prop/direct/P6578,MutualArt artist ID,5
http://www.wikidata.org/prop/direct/P6621,Le Figaro tag ID,5
http://www.wikidata.org/prop/direct/P6745,Orlando author ID,5
http://www.wikidata.org/prop/direct/P6839,TV Tropes ID,5
http://www.wikidata.org/prop/direct/P6960,IMVDb artist ID,5
http://www.wikidata.org/prop/direct/P7024,Flemish Public Libraries ID,5
http://www.wikidata.org/prop/direct/P7192,TuneIn artist ID,5
http://www.wikidata.org/prop/direct/P7215,Eiga.com person ID,5
http://www.wikidata.org/prop/direct/P8080,Ökumenisches Heiligenlexikon ID,5
http://www.wikidata.org/prop/direct/P8301,Montreux Jazz Festival person ID,5
http://www.wikidata.org/prop/direct/P8341,Dansk Biografisk Leksikon ID,5
http://www.wikidata.org/prop/direct/P8951,Order of Canada recipient ID,5
http://www.wikidata.org/prop/direct/P8947,Museo Galileo authority ID,5
http://www.wikidata.org/prop/direct/P9352,Portrait Archive ID,5
http://www.wikidata.org/prop/direct/P9541,MacArthur Fellows Program ID,5
http://www.wikidata.org/prop/direct/P9770,Knesset member ID,5
http://www.wikidata.org/prop/direct/P9863,Gujarati Vishwakosh entry,5
http://www.wikidata.org/prop/direct/P9880,Festivaletteratura person ID,5
http://www.wikidata.org/prop/direct/P10328,ICPSR Personal Names Authority List ID,5
http://www.wikidata.org/prop/direct/P94,coat of arms image,4
http://www.wikidata.org/prop/direct/P528,catalog code,4
http://www.wikidata.org/prop/direct/P1289,Kritisches Lexikon zur fremdsprachigen Gegenwartsliteratur ID,4
http://www.wikidata.org/prop/direct/P1331,PACE member ID,4
http://www.wikidata.org/prop/direct/P1340,eye color,4
http://www.wikidata.org/prop/direct/P1563,MacTutor biography ID,4
http://www.wikidata.org/prop/direct/P1581,official blog URL,4
http://www.wikidata.org/prop/direct/P1651,YouTube video ID,4
http://www.wikidata.org/prop/direct/P1712,Metacritic ID,4
http://www.wikidata.org/prop/direct/P2038,ResearchGate profile ID,4
http://www.wikidata.org/prop/direct/P2372,ODIS ID,4
http://www.wikidata.org/prop/direct/P2510,National Discography of Italian Song artist/group ID,4
http://www.wikidata.org/prop/direct/P2959,permanent duplicated item,4
http://www.wikidata.org/prop/direct/P3142,EDb person ID,4
http://www.wikidata.org/prop/direct/P3136,elCinema person ID,4
http://www.wikidata.org/prop/direct/P3265,Myspace ID,4
http://www.wikidata.org/prop/direct/P3553,Zhihu topic ID,4
http://www.wikidata.org/prop/direct/P3919,contributed to creative work,4
http://www.wikidata.org/prop/direct/P4200,Christie's creator ID,4
http://www.wikidata.org/prop/direct/P4576,Tidal artist ID,4
http://www.wikidata.org/prop/direct/P4690,Oireachtas member ID,4
http://www.wikidata.org/prop/direct/P4757,Songwriters Hall of Fame ID,4
http://www.wikidata.org/prop/direct/P5068,Flanders Arts Institute person ID,4
http://www.wikidata.org/prop/direct/P5247,Giant Bomb ID,4
http://www.wikidata.org/prop/direct/P5254,FilmTv.it person ID,4
http://www.wikidata.org/prop/direct/P5431,setlist.fm artist ID,4
http://www.wikidata.org/prop/direct/P5715,Academia.edu profile URL,4
http://www.wikidata.org/prop/direct/P5821,ArhivX LOD ID,4
http://www.wikidata.org/prop/direct/P6414,DIZIE ID,4
http://www.wikidata.org/prop/direct/P6441,Douban author ID,4
http://www.wikidata.org/prop/direct/P6465,Democracy Club candidate ID,4
http://www.wikidata.org/prop/direct/P6573,Klexikon article ID,4
http://www.wikidata.org/prop/direct/P6645,Stedelijk Museum Amsterdam ID,4
http://www.wikidata.org/prop/direct/P6764,V&A person ID,4
http://www.wikidata.org/prop/direct/P6829,Dictionary of Irish Biography ID,4
http://www.wikidata.org/prop/direct/P6925,Musicalics composer ID,4
http://www.wikidata.org/prop/direct/P6978,Scandinavian middle family name,4
http://www.wikidata.org/prop/direct/P7195,Bandsintown artist ID,4
http://www.wikidata.org/prop/direct/P7311,Aozora Bunko author ID,4
http://www.wikidata.org/prop/direct/P7941,Biografisch Woordenboek van Nederland: 1880-2000 ID,4
http://www.wikidata.org/prop/direct/P7952,The First Amendment Encyclopedia ID,4
http://www.wikidata.org/prop/direct/P7993,Treccani's Dizionario di Filosofia ID,4
http://www.wikidata.org/prop/direct/P8013,Trakt.tv ID,4
http://www.wikidata.org/prop/direct/P8041,DR music artist ID,4
http://www.wikidata.org/prop/direct/P8381,Emmys person ID,4
http://www.wikidata.org/prop/direct/P8406,Grove Art Online ID,4
http://www.wikidata.org/prop/direct/P8730,National Park Service people ID,4
http://www.wikidata.org/prop/direct/P9179,Biblioteca Iglesia Nacional Española en Roma ID,4
http://www.wikidata.org/prop/direct/P9245,Labour Australia ID,4
http://www.wikidata.org/prop/direct/P9495,National Historical Museums of Sweden ID,4
http://www.wikidata.org/prop/direct/P9625,Dizionario Biografico dell'Educazione (1800–2000) ID,4
http://www.wikidata.org/prop/direct/P9686,Classical Archives composer ID,4
http://www.wikidata.org/prop/direct/P9707,GCD creator ID,4
http://www.wikidata.org/prop/direct/P10021,UAE University Libraries ID,4
http://www.wikidata.org/prop/direct/P10298,Sceneweb artist ID,4
http://www.wikidata.org/prop/direct/P11227,AniList staff ID,4
http://www.wikidata.org/prop/direct/P11245,YouTube handle,4
http://www.wikidata.org/prop/direct/P11281,Biographical Dictionary of the Australian Senate ID,4
http://www.wikidata.org/prop/direct/P12674,Kunstenpunt Knowledge Graph ID,4
http://www.wikidata.org/prop/direct/P13030,Münzkabinett ID,4
http://www.wikidata.org/prop/direct/P13226,Hessian Biography person (GND) ID,4
http://www.wikidata.org/prop/direct/P13455,Dezède person ID,4
http://www.wikidata.org/prop/direct/P54,member of sports team,3
http://www.wikidata.org/prop/direct/P1047,Catholic Hierarchy person ID,3
http://www.wikidata.org/prop/direct/P1150,Regensburg Classification,3
http://www.wikidata.org/prop/direct/P1187,Dharma Drum Institute of Liberal Arts person ID,3
http://www.wikidata.org/prop/direct/P1283,filmography,3
http://www.wikidata.org/prop/direct/P1649,KMDb person ID,3
http://www.wikidata.org/prop/direct/P1842,Global Anabaptist Mennonite Encyclopedia Online ID,3
http://www.wikidata.org/prop/direct/P1875,represented by,3
http://www.wikidata.org/prop/direct/P1884,hair color,3
http://www.wikidata.org/prop/direct/P2087,Crunchbase person ID,3
http://www.wikidata.org/prop/direct/P2089,Library of Congress JukeBox ID (former scheme),3
http://www.wikidata.org/prop/direct/P1988,Le Delarge artist ID,3
http://www.wikidata.org/prop/direct/P2011,Cooper Hewitt person ID,3
http://www.wikidata.org/prop/direct/P2469,Theatricalia person ID,3
http://www.wikidata.org/prop/direct/P2477,BDRC Resource ID,3
http://www.wikidata.org/prop/direct/P2592,Québec cultural heritage directory people ID,3
http://www.wikidata.org/prop/direct/P3072,Storting person ID,3
http://www.wikidata.org/prop/direct/P3123,Stanford Encyclopedia of Philosophy ID,3
http://www.wikidata.org/prop/direct/P3162,Rock and Roll Hall of Fame ID,3
http://www.wikidata.org/prop/direct/P3185,VK username,3
http://www.wikidata.org/prop/direct/P3435,VGMdb artist ID,3
http://www.wikidata.org/prop/direct/P3716,social classification,3
http://www.wikidata.org/prop/direct/P3794,Dictionary of Sydney ID,3
http://www.wikidata.org/prop/direct/P3901,ADAGP artist ID,3
http://www.wikidata.org/prop/direct/P3965,Bridgeman artist ID,3
http://www.wikidata.org/prop/direct/P3984,subreddit,3
http://www.wikidata.org/prop/direct/P4084,MyAnimeList people ID,3
http://www.wikidata.org/prop/direct/P4399,Itaú Cultural ID,3
http://www.wikidata.org/prop/direct/P4439,MNCARS artist ID,3
http://www.wikidata.org/prop/direct/P4440,Biblioteca Nacional de México ID,3
http://www.wikidata.org/prop/direct/P4663,DACS ID (former),3
http://www.wikidata.org/prop/direct/P4903,New Georgia Encyclopedia ID,3
http://www.wikidata.org/prop/direct/P4936,SFMOMA artist ID,3
http://www.wikidata.org/prop/direct/P4782,Movieplayer person ID,3
http://www.wikidata.org/prop/direct/P5002,Orthodox Encyclopedia ID,3
http://www.wikidata.org/prop/direct/P5287,Songfacts artist ID,3
http://www.wikidata.org/prop/direct/P5298,Webb-site person ID,3
http://www.wikidata.org/prop/direct/P5344,Printemps des poètes poet ID,3
http://www.wikidata.org/prop/direct/P5355,abgeordnetenwatch.de politician ID,3
http://www.wikidata.org/prop/direct/P5370,Entomologists of the World ID,3
http://www.wikidata.org/prop/direct/P5509,MAPS poet ID,3
http://www.wikidata.org/prop/direct/P6010,Encyclopedia of Alabama ID,3
http://www.wikidata.org/prop/direct/P6023,ResearchGate contributions ID,3
http://www.wikidata.org/prop/direct/P6126,Santiebeati ID,3
http://www.wikidata.org/prop/direct/P6173,Bitraga author ID,3
http://www.wikidata.org/prop/direct/P6181,Disney A to Z ID,3
http://www.wikidata.org/prop/direct/P6231,BDELIS ID,3
http://www.wikidata.org/prop/direct/P6255,SinemaTürk person ID,3
http://www.wikidata.org/prop/direct/P6329,Share-VDE 1.0 author ID,3
http://www.wikidata.org/prop/direct/P6424,affiliation string,3
http://www.wikidata.org/prop/direct/P6553,personal pronoun,3
http://www.wikidata.org/prop/direct/P6851,Biographical Dictionary of Iowa ID,3
http://www.wikidata.org/prop/direct/P6926,Nederlandse Top 40 artist ID,3
http://www.wikidata.org/prop/direct/P7039,National Library of Iceland ID,3
http://www.wikidata.org/prop/direct/P7128,Archives Directory for the History of Collecting in America ID,3
http://www.wikidata.org/prop/direct/P7208,Liber Liber author ID,3
http://www.wikidata.org/prop/direct/P7300,MUBI person ID,3
http://www.wikidata.org/prop/direct/P7349,Gazetteer for Scotland person ID,3
http://www.wikidata.org/prop/direct/P7695,e-WV: The West Virginia Encyclopedia ID,3
http://www.wikidata.org/prop/direct/P7691,The Oregon Encyclopedia ID,3
http://www.wikidata.org/prop/direct/P7803,Decine21 person ID,3
http://www.wikidata.org/prop/direct/P7842,Vienna History Wiki ID,3
http://www.wikidata.org/prop/direct/P7920,TheTVDB person ID,3
http://www.wikidata.org/prop/direct/P8044,Frankfurter Personenlexikon ID,3
http://www.wikidata.org/prop/direct/P8214,curriculum vitae URL,3
http://www.wikidata.org/prop/direct/P8408,KBpedia ID,3
http://www.wikidata.org/prop/direct/P8612,past Fellow of the Royal Society ID,3
http://www.wikidata.org/prop/direct/P8689,ITHL author ID,3
http://www.wikidata.org/prop/direct/P8796,Film w prasie polskiej press collection ID,3
http://www.wikidata.org/prop/direct/P8879,Kinorium person ID,3
http://www.wikidata.org/prop/direct/P8896,Concise Literary Encyclopedia ID,3
http://www.wikidata.org/prop/direct/P8998,Magyar életrajzi lexikon ID,3
http://www.wikidata.org/prop/direct/P9141,Portal da Literatura ID,3
http://www.wikidata.org/prop/direct/P9222,bashenc.online ID,3
http://www.wikidata.org/prop/direct/P9404,OFDb person ID,3
http://www.wikidata.org/prop/direct/P9661,EBAF authority ID,3
http://www.wikidata.org/prop/direct/P9678,Franciscan Center of Christian Oriental Studies ID,3
http://www.wikidata.org/prop/direct/P10085,biografiA ID,3
http://www.wikidata.org/prop/direct/P10231,WikiStrinda article ID,3
http://www.wikidata.org/prop/direct/P10469,HaBima Archive person ID,3
http://www.wikidata.org/prop/direct/P10540,TASS Encyclopedia person ID,3
http://www.wikidata.org/prop/direct/P10849,Beamish peerage database person ID,3
http://www.wikidata.org/prop/direct/P10882,Met Constituent ID,3
http://www.wikidata.org/prop/direct/P11345,Cinematografo.it name or company ID (new),3
http://www.wikidata.org/prop/direct/P11408,Pixiv Encyclopedia ID,3
http://www.wikidata.org/prop/direct/P11831,Alabama Authors ID,3
http://www.wikidata.org/prop/direct/P12173,Newman Numismatics Portal ID,3
http://www.wikidata.org/prop/direct/P12935,Illinois Center for the Book author ID,3
http://www.wikidata.org/prop/direct/P13306,Oorlogsbronnen ID,3
http://www.wikidata.org/prop/direct/P51,audio,2
http://www.wikidata.org/prop/direct/P66,ancestral home,2
http://www.wikidata.org/prop/direct/P552,handedness,2
http://www.wikidata.org/prop/direct/P708,diocese,2
http://www.wikidata.org/prop/direct/P746,date of disappearance,2
http://www.wikidata.org/prop/direct/P998,Curlie ID,2
http://www.wikidata.org/prop/direct/P1003,National Library of Romania ID,2
http://www.wikidata.org/prop/direct/P1048,NCL ID,2
http://www.wikidata.org/prop/direct/P1149,Library of Congress Classification,2
http://www.wikidata.org/prop/direct/P1229,Openpolis ID,2
http://www.wikidata.org/prop/direct/P1260,Swedish Open Cultural Heritage URI,2
http://www.wikidata.org/prop/direct/P1347,military casualty classification,2
http://www.wikidata.org/prop/direct/P1447,Sports-Reference.com Olympic athlete ID (archived),2
http://www.wikidata.org/prop/direct/P1441,present in work,2
http://www.wikidata.org/prop/direct/P1552,has characteristic,2
http://www.wikidata.org/prop/direct/P1635,religious name,2
http://www.wikidata.org/prop/direct/P1710,Sächsische Biografie (GND) ID,2
http://www.wikidata.org/prop/direct/P1853,blood type,2
http://www.wikidata.org/prop/direct/P1942,McCune–Reischauer romanization,2
http://www.wikidata.org/prop/direct/P1986,Treccani's Biographical Dictionary of Italian People ID,2
http://www.wikidata.org/prop/direct/P2001,Revised Romanization,2
http://www.wikidata.org/prop/direct/P2021,Erdős number,2
http://www.wikidata.org/prop/direct/P2016,Catalogus Professorum Academiae Groninganae ID,2
http://www.wikidata.org/prop/direct/P2383,CTHS person ID,2
http://www.wikidata.org/prop/direct/P2456,DBLP author ID,2
http://www.wikidata.org/prop/direct/P2561,name,2
http://www.wikidata.org/prop/direct/P2572,hashtag,2
http://www.wikidata.org/prop/direct/P2652,partnership with,2
http://www.wikidata.org/prop/direct/P2688,Box Office Mojo person ID (archived),2
http://www.wikidata.org/prop/direct/P2753,Dictionary of Canadian Biography ID,2
http://www.wikidata.org/prop/direct/P2830,Online World of Wrestling ID,2
http://www.wikidata.org/prop/direct/P2862,Catalogus Professorum Academiae Rheno-Traiectinae ID,2
http://www.wikidata.org/prop/direct/P2888,exact match,2
http://www.wikidata.org/prop/direct/P2930,INSPIRE-HEP author ID,2
http://www.wikidata.org/prop/direct/P3144,elFilm person ID,2
http://www.wikidata.org/prop/direct/P3171,Olympic.org athlete ID (archived),2
http://www.wikidata.org/prop/direct/P3267,Flickr user ID,2
http://www.wikidata.org/prop/direct/P3413,Leopoldina member ID (superseded),2
http://www.wikidata.org/prop/direct/P3448,stepparent,2
http://www.wikidata.org/prop/direct/P3509,Dagens Nyheter topic ID,2
http://www.wikidata.org/prop/direct/P3733,MOOMA artist ID,2
http://www.wikidata.org/prop/direct/P3828,wears,2
http://www.wikidata.org/prop/direct/P3845,TV Guide person ID (former scheme),2
http://www.wikidata.org/prop/direct/P3909,last words,2
http://www.wikidata.org/prop/direct/P3933,Cinema.de ID,2
http://www.wikidata.org/prop/direct/P4114,ADK member ID,2
http://www.wikidata.org/prop/direct/P4112,danskfilmogtv person ID,2
http://www.wikidata.org/prop/direct/P4206,FOIH person ID,2
http://www.wikidata.org/prop/direct/P4252,All-Russian Mathematical Portal ID,2
http://www.wikidata.org/prop/direct/P4438,"BFI Films, TV and people ID",2
http://www.wikidata.org/prop/direct/P4515,Prisma ID,2
http://www.wikidata.org/prop/direct/P4553,RA Collections ID,2
http://www.wikidata.org/prop/direct/P4687,Dictionnaire des peintres belges ID,2
http://www.wikidata.org/prop/direct/P4813,PARES ID,2
http://www.wikidata.org/prop/direct/P5101,Swedish Literature Bank Author ID,2
http://www.wikidata.org/prop/direct/P5233,Filmow ID,2
http://www.wikidata.org/prop/direct/P5324,Swedish National Archive reference code,2
http://www.wikidata.org/prop/direct/P5380,National Academy of Sciences member ID,2
http://www.wikidata.org/prop/direct/P5394,Poets & Writers author ID,2
http://www.wikidata.org/prop/direct/P5392,Poetry Archive poet ID,2
http://www.wikidata.org/prop/direct/P5414,The Paris Review interviewee ID,2
http://www.wikidata.org/prop/direct/P5415,Whonamedit? doctor ID,2
http://www.wikidata.org/prop/direct/P5441,Encyclopaedia Herder person ID,2
http://www.wikidata.org/prop/direct/P5478,RPO poet ID,2
http://www.wikidata.org/prop/direct/P5491,BD Gest' author ID,2
http://www.wikidata.org/prop/direct/P5503,Poetry Society of America poet ID,2
http://www.wikidata.org/prop/direct/P5614,Aosdána ID,2
http://www.wikidata.org/prop/direct/P5609,Split This Rock poet ID,2
http://www.wikidata.org/prop/direct/P5637,CNL author ID,2
http://www.wikidata.org/prop/direct/P5645,Académie française award winner ID,2
http://www.wikidata.org/prop/direct/P5719,National Medal of Arts winner ID,2
http://www.wikidata.org/prop/direct/P5801,Academia.edu topic ID,2
http://www.wikidata.org/prop/direct/P5815,Olympics.com athlete ID,2
http://www.wikidata.org/prop/direct/P6002,WikiArt ID,2
http://www.wikidata.org/prop/direct/P6119,Letterboxd actor ID,2
http://www.wikidata.org/prop/direct/P6194,Austrian Biographical Encyclopedia ID,2
http://www.wikidata.org/prop/direct/P6264,Harvard Index of Botanists ID,2
http://www.wikidata.org/prop/direct/P6276,Amazon Music artist ID,2
http://www.wikidata.org/prop/direct/P6283,MNopedia ID,2
http://www.wikidata.org/prop/direct/P6302,Dictionnaire de spiritualité ID,2
http://www.wikidata.org/prop/direct/P6412,Gran Enciclopèdia de la Música ID,2
http://www.wikidata.org/prop/direct/P6603,film-documentaire.fr author ID,2
http://www.wikidata.org/prop/direct/P6616,Library of Parliament of Canada person ID,2
http://www.wikidata.org/prop/direct/P6637,AWARE ID,2
http://www.wikidata.org/prop/direct/P6714,Whitney Museum of American Art artist ID,2
http://www.wikidata.org/prop/direct/P6715,SIUSA archive producer person ID,2
http://www.wikidata.org/prop/direct/P6734,Archaeology Data Service person ID,2
http://www.wikidata.org/prop/direct/P6817,SVT Play ID,2
http://www.wikidata.org/prop/direct/P6870,Latvian National Encyclopedia Online ID,2
http://www.wikidata.org/prop/direct/P6874,Musixmatch artist ID,2
http://www.wikidata.org/prop/direct/P6900,NicoNicoPedia ID,2
http://www.wikidata.org/prop/direct/P6944,Bionomia ID,2
http://www.wikidata.org/prop/direct/P6984,Rupa Publications author ID,2
http://www.wikidata.org/prop/direct/P7284,The Independent topic ID,2
http://www.wikidata.org/prop/direct/P7498,Women Film Pioneers ID,2
