p,propLabel,eff
http://www.wikidata.org/prop/direct/P11686,University of Barcelona authority ID,80
http://www.wikidata.org/prop/direct/P1741,GTAA ID,79
http://www.wikidata.org/prop/direct/P3602,candidacy in election,79
http://www.wikidata.org/prop/direct/P4342,Store norske leksikon (Great Norwegian Encyclopedia) ID,79
http://www.wikidata.org/prop/direct/P7400,LibraryThing author ID,79
http://www.wikidata.org/prop/direct/P3222,NE.se ID,78
http://www.wikidata.org/prop/direct/P25,mother,77
http://www.wikidata.org/prop/direct/P1038,relative,76
http://www.wikidata.org/prop/direct/P1344,participant in,75
http://www.wikidata.org/prop/direct/P1284,Munzinger person ID,74
http://www.wikidata.org/prop/direct/P3630,Babelio author ID,74
http://www.wikidata.org/prop/direct/P4985,TMDB person ID,74
http://www.wikidata.org/prop/direct/P607,participated in conflict,71
http://www.wikidata.org/prop/direct/P3417,Quora topic ID,71
http://www.wikidata.org/prop/direct/P6379,has works in the collection,70
http://www.wikidata.org/prop/direct/P910,topic's main category,69
http://www.wikidata.org/prop/direct/P5019,Brockhaus Enzyklopädie online ID,68
http://www.wikidata.org/prop/direct/P8687,social media followers,67
http://www.wikidata.org/prop/direct/P1580,University of Barcelona authority ID (former scheme),66
http://www.wikidata.org/prop/direct/P2013,Facebook username,66
http://www.wikidata.org/prop/direct/P8313,Lex ID,66
http://www.wikidata.org/prop/direct/P8902,Archives at Yale agent ID,66
http://www.wikidata.org/prop/direct/P1303,instrument,64
http://www.wikidata.org/prop/direct/P2190,C-SPAN person string ID (deprecated),64
http://www.wikidata.org/prop/direct/P793,significant event,63
http://www.wikidata.org/prop/direct/P1273,CANTIC ID (former scheme),63
http://www.wikidata.org/prop/direct/P3348,National Library of Greece ID,63
http://www.wikidata.org/prop/direct/P5361,BNB person ID,63
http://www.wikidata.org/prop/direct/P10660,C-SPAN person numeric ID,63
http://www.wikidata.org/prop/direct/P135,movement,61
http://www.wikidata.org/prop/direct/P1005,Portuguese National Library author ID,61
http://www.wikidata.org/prop/direct/P8034,Vatican Library VcBA ID,61
http://www.wikidata.org/prop/direct/P10227,National Library of Ireland ID,61
http://www.wikidata.org/prop/direct/P109,signature,60
http://www.wikidata.org/prop/direct/P1142,political ideology,60
http://www.wikidata.org/prop/direct/P1375,NSK ID,60
http://www.wikidata.org/prop/direct/P3762,openMLOL author ID,59
http://www.wikidata.org/prop/direct/P4629,Online Books Page author ID,59
http://www.wikidata.org/prop/direct/P2031,work period (start),58
http://www.wikidata.org/prop/direct/P10387,Databazeknih.cz author ID,56
http://www.wikidata.org/prop/direct/P13183,JudaicaLink person (GND) ID,56
