"subject_uri","birthYear","country","nationality"
"http://dbpedia.org/resource/E._D._Morel",1873,"French_Third_Republic",
"http://dbpedia.org/resource/Urbain_Ledoux",1874,"Canada","American"
"http://dbpedia.org/resource/Nicholas_Roerich",1874,"Russian_Empire","Russian"
"http://dbpedia.org/resource/Otto_Rühle",1874,"German_Empire","Germans"
"http://dbpedia.org/resource/Clara_Ragaz",1874,"Switzerland","Swiss"
"http://dbpedia.org/resource/Mien_van_Wulfften_Palthe",1875,"Dutch_East_Indies","Dutch"
"http://dbpedia.org/resource/Molly_Childers",1875,,"United_States"
"http://dbpedia.org/resource/Molly_Childers",1875,,"Irish_people"
"http://dbpedia.org/resource/Suze_Groeneweg",1875,,"Netherlands"
"http://dbpedia.org/resource/Mary_Dingman",1875,,"American"
"http://dbpedia.org/resource/Mary_Dingman",1875,,"Americans"
"http://dbpedia.org/resource/Albert_Schweitzer",1875,"German_Empire",
"http://dbpedia.org/resource/Albert_Schweitzer",1875,"Alsace-Lorraine",
"http://dbpedia.org/resource/Martha_Larsen_Jahn",1875,"Norway",
"http://dbpedia.org/resource/Félicien_Challaye",1875,,
"http://dbpedia.org/resource/Lilian_Wolfe",1875,,
"http://dbpedia.org/resource/Lola_Maverick_Lloyd",1875,,
"http://dbpedia.org/resource/Evelyn_Underhill",1875,,
"http://dbpedia.org/resource/Jeanne_Mélin",1877,,"French"
"http://dbpedia.org/resource/Rosika_Schwimmer",1877,"Kingdom_of_Hungary",
"http://dbpedia.org/resource/Gabrielle_Radziwill",1877,,
"http://dbpedia.org/resource/Pierre_Brizon",1878,,"French"
"http://dbpedia.org/resource/Yosano_Akiko",1878,"Japan",
"http://dbpedia.org/resource/Madeleine_Vernet",1878,,
"http://dbpedia.org/resource/Francis_Sheehy-Skeffington",1878,,
"http://dbpedia.org/resource/Otto_Hahn",1879,"German_Empire","German"
"http://dbpedia.org/resource/Otto_Hahn",1879,"Hesse-Nassau","German"
"http://dbpedia.org/resource/Otto_Hahn",1879,"Kingdom_of_Prussia","German"
"http://dbpedia.org/resource/Miriam_Soljak",1879,,"New Zealand"
"http://dbpedia.org/resource/Miriam_Soljak",1879,,""
"http://dbpedia.org/resource/Miriam_Soljak",1879,,"British"
"http://dbpedia.org/resource/Miriam_Soljak",1879,,"Austrian"
"http://dbpedia.org/resource/Miriam_Soljak",1879,,"Yugoslavian"
"http://dbpedia.org/resource/Albert_Einstein",1879,"German_Empire",
"http://dbpedia.org/resource/Albert_Einstein",1879,"Kingdom_of_Württemberg",
"http://dbpedia.org/resource/Jeannette_Rankin",1880,"Montana_Territory",
"http://dbpedia.org/resource/Helen_Keller",1880,,
"http://dbpedia.org/resource/Dick_Sheppard_(priest)",1880,,
"http://dbpedia.org/resource/Archibald_Baxter",1881,"New_Zealand","New Zealand"
"http://dbpedia.org/resource/Archibald_Baxter",1881,"New_Zealand","New_Zealand"
"http://dbpedia.org/resource/Heloise_Brainerd",1881,,"American"
"http://dbpedia.org/resource/Isabel_Longworth",1881,,"Australian"
"http://dbpedia.org/resource/Lewis_Fry_Richardson",1881,"United_Kingdom_of_Great_Britain_and_Ireland",
"http://dbpedia.org/resource/Rosa_Manus",1881,"Netherlands",
"http://dbpedia.org/resource/Carl_Bonnevie",1881,,
"http://dbpedia.org/resource/Crystal_Eastman",1881,,
"http://dbpedia.org/resource/Sybil_Thorndike",1882,"Lincolnshire","England"
"http://dbpedia.org/resource/Kathleen_Innes",1883,,"British"
"http://dbpedia.org/resource/Bart_de_Ligt",1883,,
"http://dbpedia.org/resource/Hans_Ehrenberg",1883,,"German"
"http://dbpedia.org/resource/Roger_Nash_Baldwin",1884,,
"http://dbpedia.org/resource/A._J._Muste",1885,,
"http://dbpedia.org/resource/Franz_Rosenzweig",1886,"German_Empire",
"http://dbpedia.org/resource/Salvador_de_Madariaga",1886,"Spain",
"http://dbpedia.org/resource/Helen_Chenevix",1886,,
"http://dbpedia.org/resource/Nikolaus_Ehlen",1886,,
"http://dbpedia.org/resource/Tano_Jōdai",1886,,
"http://dbpedia.org/resource/Laura_Hughes_(activist)",1886,,"Canadian, American"
"http://dbpedia.org/resource/Arnold_Zweig",1887,"Province_of_Silesia","German"
"http://dbpedia.org/resource/Arnold_Zweig",1887,"German_Empire","German"
"http://dbpedia.org/resource/Arnold_Zweig",1887,"Kingdom_of_Prussia","German"
"http://dbpedia.org/resource/René_Cassin",1887,"France",
"http://dbpedia.org/resource/Siri_Derkert",1888,,"Swedes"
"http://dbpedia.org/resource/Dorothy_Evans",1888,,"British"
"http://dbpedia.org/resource/Dorothy_Evans",1888,,"British_people"
"http://dbpedia.org/resource/Fenner_Brockway",1888,"Calcutta",
"http://dbpedia.org/resource/Norma_Elizabeth_Boyd",1888,"United_States",
"http://dbpedia.org/resource/Eugen_Rosenstock-Huessy",1888,"German_Empire",
"http://dbpedia.org/resource/Fenner_Brockway",1888,"British_Raj",
"http://dbpedia.org/resource/Louis_Lecoin",1888,,
"http://dbpedia.org/resource/Carl_von_Ossietzky",1889,"German_Empire",
"http://dbpedia.org/resource/Doris_Blackburn",1889,,
"http://dbpedia.org/resource/Philip_Noel-Baker",1889,,
"http://dbpedia.org/resource/Gertrud_Baer",1890,"Kingdom_of_Prussia","German"
"http://dbpedia.org/resource/Selma_Meyer",1890,,
"http://dbpedia.org/resource/B._R._Ambedkar",1891,"British_Raj",
"http://dbpedia.org/resource/Sigrid_Helliesen_Lund",1892,,"Norway"
"http://dbpedia.org/resource/Martin_Niemöller",1892,"German_Empire",
"http://dbpedia.org/resource/Anita_Parkhurst_Willcox",1892,,"American"
"http://dbpedia.org/resource/Dorothy_Detzer",1893,,"American"
"http://dbpedia.org/resource/Vera_Brittain",1893,"Staffordshire",
"http://dbpedia.org/resource/Ammon_Hennacy",1893,,
"http://dbpedia.org/resource/Rae_Luckock",1893,,
"http://dbpedia.org/resource/Annot_(artist)",1894,,"German"
"http://dbpedia.org/resource/Aldous_Huxley",1894,,
"http://dbpedia.org/resource/Igino_Giordani",1894,,
"http://dbpedia.org/resource/Vinoba_Bhave",1895,"Bombay_Presidency",
"http://dbpedia.org/resource/Vinoba_Bhave",1895,"British_India",
"http://dbpedia.org/resource/Vinoba_Bhave",1895,"India",
"http://dbpedia.org/resource/Eugen_Relgis",1895,,
"http://dbpedia.org/resource/Willemijn_Posthumus-van_der_Goot",1897,"South_Africa","Dutch"
"http://dbpedia.org/resource/Dorothy_Day",1897,,
"http://dbpedia.org/resource/Irene_Greenwood",1898,,"Australian"
"http://dbpedia.org/resource/James_Gareth_Endicott",1898,"China",
"http://dbpedia.org/resource/Mildred_Fahrni",1900,,"Canadian"
"http://dbpedia.org/resource/Lanza_del_Vasto",1901,"Italy",
"http://dbpedia.org/resource/Linus_Pauling",1901,,
"http://dbpedia.org/resource/Günther_Anders",1902,"German_Empire",
"http://dbpedia.org/resource/Amparo_Poch_y_Gascón",1902,,
"http://dbpedia.org/resource/Roger_Monclin",1903,,"French"
"http://dbpedia.org/resource/Donald_Soper",1903,,"British_people"
"http://dbpedia.org/resource/Benjamin_Spock",1903,,
"http://dbpedia.org/resource/Ella_Baker",1903,,
"http://dbpedia.org/resource/Ava_Helen_Pauling",1903,,
"http://dbpedia.org/resource/Waldo_Williams",1904,,"Welsh"
"http://dbpedia.org/resource/John_Peters_Humphrey",1905,,
"http://dbpedia.org/resource/Albert_Bigelow",1906,,
"http://dbpedia.org/resource/Abraham_Joshua_Heschel",1907,,
"http://dbpedia.org/resource/Peace_Pilgrim",1908,,
"http://dbpedia.org/resource/Muriel_Duckworth",1908,,
"http://dbpedia.org/resource/Idy_Hegnauer",1909,,"Swiss"
"http://dbpedia.org/resource/Margaret_Holmes",1909,,
"http://dbpedia.org/resource/Hélder_Câmara",1909,,
"http://dbpedia.org/resource/Peggy_Duff",1910,,"British"
"http://dbpedia.org/resource/Alfonso_García_Robles",1911,"Mexico",
"http://dbpedia.org/resource/Paul_Goodman",1911,,
"http://dbpedia.org/resource/Genevieve_Fiore",1912,,"American"
"http://dbpedia.org/resource/Abbé_Pierre",1912,"France",
"http://dbpedia.org/resource/Grigoris_Lambrakis",1912,,
"http://dbpedia.org/resource/Woody_Guthrie",1912,,
"http://dbpedia.org/resource/Wilson_A._Head",1914,,"Americans"
"http://dbpedia.org/resource/Wilson_A._Head",1914,,"Canadian"
"http://dbpedia.org/resource/Wilson_A._Head",1914,,"Canadians"
"http://dbpedia.org/resource/James_Peck_(pacifist)",1914,,
"http://dbpedia.org/resource/Ivan_Supek",1915,"Austria-Hungary","Croatian"
"http://dbpedia.org/resource/Ivan_Supek",1915,"Kingdom_of_Croatia-Slavonia","Croatian"
"http://dbpedia.org/resource/John_McConnell_(peace_activist)",1915,,"American"
"http://dbpedia.org/resource/David_Dellinger",1915,,
"http://dbpedia.org/resource/Norman_Cousins",1915,,
"http://dbpedia.org/resource/Thomas_Merton",1915,,"American"
"http://dbpedia.org/resource/Adam_Curle",1916,,"British"
"http://dbpedia.org/resource/Eugene_McCarthy",1916,,
"http://dbpedia.org/resource/Óscar_Romero",1917,"El_Salvador","Salvadoran"
"http://dbpedia.org/resource/Robert_Baker_Aitken",1917,,
"http://dbpedia.org/resource/Marii_Hasegawa",1918,"Japan","Japanese_people"
