"subject_uri","property_uri","object_uri","label"
"http://dbpedia.org/resource/Peggy_Duff","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Journalist","Journalist"
"http://dbpedia.org/resource/Grigoris_Lambrakis","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Gynecologist","Gynecologist"
"http://dbpedia.org/resource/Wilson_A._Head","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Sociologist","Sociologist"
"http://dbpedia.org/resource/David_Dellinger","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Pacifism","Pacifism"
"http://dbpedia.org/resource/Frances_Crowe","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Pacifism","Pacifism"
"http://dbpedia.org/resource/Frances_Crowe","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Peace_activist","Peace activist"
"http://dbpedia.org/resource/Elise_M._Boulding","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Sociologist","Sociologist"
"http://dbpedia.org/resource/Alex_Comfort","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Gerontologist","Gerontologist"
"http://dbpedia.org/resource/Howard_Zinn","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Historian","Historian"
"http://dbpedia.org/resource/Cesar_Chavez","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Civil_rights","Civil rights"
"http://dbpedia.org/resource/Cesar_Chavez","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Activism","Activism"
"http://dbpedia.org/resource/Cesar_Chavez","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Labor_leader","Labor leader"
"http://dbpedia.org/resource/Abie_Nathan","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Humanitarian","Humanitarian"
"http://dbpedia.org/resource/Abie_Nathan","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Peace_activist","Peace activist"
"http://dbpedia.org/resource/David_McReynolds","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Activist","Activist"
"http://dbpedia.org/resource/Martin_Luther_King_Jr.","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Baptist","Baptist"
"http://dbpedia.org/resource/Dick_Gregory","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Vegetarian","Vegetarian"
"http://dbpedia.org/resource/Dick_Gregory","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Stand-up_comedian","Stand-up comedian"
"http://dbpedia.org/resource/Yoko_Ono","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Peace_activist","Peace activist"
"http://dbpedia.org/resource/Wavy_Gravy","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Comedian","Comedian"
"http://dbpedia.org/resource/Wavy_Gravy","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Activism","Activism"
"http://dbpedia.org/resource/James_Bevel","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Southern_Christian_Leadership_Conference","Southern Christian Leadership Conference"
"http://dbpedia.org/resource/Llorenç_Vidal_Vidal","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Pacifist","Pacifist"
"http://dbpedia.org/resource/George_Lakey","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Sociologist","Sociologist"
"http://dbpedia.org/resource/Helen_Caldicott","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Activist","Activist"
"http://dbpedia.org/resource/Colman_McCarthy","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Journalist","Journalist"
"http://dbpedia.org/resource/Colman_McCarthy","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Peace_activist","Peace activist"
"http://dbpedia.org/resource/Helen_Caldicott","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Physician","Physician"
"http://dbpedia.org/resource/José_Argüelles","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Author","Author"
"http://dbpedia.org/resource/Judith_Hand","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Futurist","Futurist"
"http://dbpedia.org/resource/Judith_Hand","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Ethologist","Ethologist"
"http://dbpedia.org/resource/Owen_Wilkes","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Peace_movement","Peace movement"
"http://dbpedia.org/resource/Brian_Willson","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Activist","Activist"
"http://dbpedia.org/resource/Amelia_Rokotuivuna","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/YWCA","YWCA"
"http://dbpedia.org/resource/Howard_Morland","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Activist","Activist"
"http://dbpedia.org/resource/Daniel_Barenboim","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Conducting","Conducting"
"http://dbpedia.org/resource/Daniel_Barenboim","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Pianist","Pianist"
"http://dbpedia.org/resource/John_Wallach","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Seeds_of_Peace","Seeds of Peace"
"http://dbpedia.org/resource/Chico_Mendes","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Environmentalism","Environmentalism"
"http://dbpedia.org/resource/Alexander_Langer","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Politician","Politician"
"http://dbpedia.org/resource/Alexander_Langer","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Journalist","Journalist"
"http://dbpedia.org/resource/Alexander_Langer","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Translation","Translation"
"http://dbpedia.org/resource/Jeff_Halper","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Anthropologist","Anthropologist"
"http://dbpedia.org/resource/Jeff_Halper","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/NGO","NGO"
"http://dbpedia.org/resource/G._Simon_Harak","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Peace_activist","Peace activist"
"http://dbpedia.org/resource/David_Dean_Shulman","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Poet","Poet"
"http://dbpedia.org/resource/David_Dean_Shulman","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Indologist","Indologist"
"http://dbpedia.org/resource/David_Dean_Shulman","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Literary_critic","Literary critic"
